Model,Train_Loss,Validation_Loss,Train_Mean_Absolute_Percentage_Error,Validation_Mean_Absolute_Percentage_Error
LAYERS1_NEURONS8,11.863979190587996,10.695021569728851,10642.721282958984,185860018.75
LAYERS2_NEURONS8,4.783489584922791,26.729936122894287,9208.210998535156,271220544.0
LAYERS3_NEURONS8,4.360891684889793,24.62099492549896,8811.15007019043,272126923.25
LAYERS4_NEURONS8,4.234995849430561,29.031152188777924,8864.076080322266,19222.693603515625
LAYERS1_NEURONS16,0.5354131851345301,71.9173167347908,3225.2204513549805,26786.30581665039
LAYERS2_NEURONS16,0.4127925904467702,55.70902109146118,3349.234550476074,24677.53909301757
LAYERS3_NEURONS16,0.3886229675263166,41.99235284328461,2614.4272422790527,21161.02325439453
LAYERS4_NEURONS16,0.3730155332013964,45.66016602516174,2580.7573585510254,21083.926330566406
LAYERS1_NEURONS32,0.1196194610092789,50.68398660421372,1479.3724479675293,26122.11828613281
LAYERS2_NEURONS32,0.0805750002618879,48.727310717105865,1280.6052494049072,18871.84783935547
LAYERS3_NEURONS32,0.1092730918899178,34.93580162525177,1610.5304718017578,18190.59942626953
LAYERS4_NEURONS32,0.0973517468664795,31.393612504005432,1472.3684177398682,24875.129455566406
LAYERS1_NEURONS64,0.0663946322165429,35.45520883798599,1174.8140983581543,23299.208526611328
LAYERS2_NEURONS64,0.0458079559030011,30.011383414268494,986.8711853027344,21194.18701171875
LAYERS3_NEURONS64,0.0442934453021734,31.582903265953064,924.6168880462646,17564.85479736328
LAYERS4_NEURONS64,0.0292307694908231,32.576633870601654,851.5495920181274,20061.439025878903
LAYERS1_NEURONS128,0.0373316885670647,42.14568948745728,786.5705900192261,20861.547454833984
LAYERS2_NEURONS128,0.0207145920139737,33.35201448202133,552.4827518463135,19025.834442138672
LAYERS3_NEURONS128,0.0358437726681586,25.370713353157043,707.5866222381592,22101.08529663086
LAYERS4_NEURONS128,0.0345869999146088,25.753901302814484,751.7717390060425,18284.65664672852
LAYERS1_NEURONS256,0.0179772342962678,34.84037733078003,536.403281211853,19629.160858154297
LAYERS2_NEURONS256,0.0136462917434982,28.78143763542176,501.8006782531738,18001.410614013672
LAYERS3_NEURONS256,0.0677814301161561,30.45579344034195,988.8266878128052,19579.334014892574
LAYERS4_NEURONS256,0.010621228400850669,24.275701940059662,433.57412672042847,18079.30307006836
